pss_score,help,dance,pride,suffering,wealthy,journalism,blue_collar_job,reading,anonymity,war,fashion,poor,pain
14,0,0,0,0,0,0,0,0,0,0,0,0,0
15,0.006410256,0,0,0,0,0,0,0,0,0.003205128,0.006410256,0,0
15,0.006410256,0,0,0,0,0,0,0,0,0.003205128,0.006410256,0,0
22,0,0.002898551,0,0.002898551,0,0,0.001449275,0,0.001449275,0,0,0.001449275,0.002898551
20,0,0,0,0,0,0,0,0,0,0,0,0,0
20,0,0.003773585,0,0,0,0,0,0.003773585,0,0,0,0,0
20,0,0,0,0.002247191,0,0,0,0,0,0.002247191,0.006741573,0,0.002247191
14,0,0,0,0,0,0,0,0,0,0,0.010869565,0,0
7,0.017241379,0,0.003448276,0,0.003448276,0.006896552,0,0,0.003448276,0.003448276,0.006896552,0,0
26,0.002100028,0.001326333,0.000718431,0.002044764,0.000718431,0.00099475,0.000552639,0.004586902,0,0.000663167,0.000718431,0.000607903,0.002155292
23,0,0.003401361,0,0.00170068,0,0,0.00170068,0.00170068,0,0,0,0.00170068,0
